0,0.01018
1,0.00423
2,0.00034
3,0.05176
4,0.00272
5,0.00445
6,0.05004
7,0.00043
8,0.08692
9,0.00018
10,0.00463
11,0.00127
12,0.00127
13,0.04738
14,0.20022
15,0.06213
16,0.03004
17,5.73631982
18,0.54308002
19,0.02084
20,0.00544
21,0.07603
22,0.02632
23,0.33169
24,0.01176
25,0.03417
26,0.01049
27,0.04708
28,0.37995998999999997
29,0.00693
30,0.01454
31,0.06301
32,0.03124
33,0.00211
34,0.00019
35,0.0052
36,0.01191
37,0.0303
38,9e-05
39,0.00534
40,6e-05
41,0.02717
42,0.00229
43,0.03909
44,0.01039
45,6e-05
46,0.02785
47,0.31392001
48,0.00022
49,0.00141
50,0.00103
51,0.00022
52,0.44559
53,0.00064
54,0.21660001
55,0.18562
56,0.01867
57,0.04799
58,0.00333
59,0.00016
60,0.00695
61,0.01688
62,0.00157
63,0.0072
64,0.45937
65,0.00157
66,0.03553
67,0.00224
68,0.00643
69,0.09471
70,0.00128
71,0.00103
72,0.05795
73,0.00238
74,0.00065
75,0.00427
76,0.01008
77,0.00547
78,0.01115
79,0.00728
80,0.06768
81,4.9560600599999995
82,0.0002
83,0.00652
84,0.00093
85,0.00993
86,0.00124
87,0.01193
88,1e-05
89,0.11747
90,0.42531
91,0.00011
92,0.02997
93,0.02288
94,0.08104
95,0.00129
96,0.00522
97,0.00352
98,0.095
99,0.14599001
100,0.00021
101,0.0004
102,0.01701
103,0.00457
104,0.00654
105,0.0139
106,0.003656
107,0.11314
108,0.00183
109,0.00052
110,0.24460001
111,0.07322
112,0.03748
113,0.00403
114,0.06586
115,0.17664
116,0.00047
117,0.00654
118,0.00353
119,0.07421
120,0.05684
121,0.00089
122,0.06108
123,0.0564
124,0.00021
125,0.02355
126,0.00041
127,0.05341
128,0.02268
129,0.00011
130,0.00041
131,8e-05
132,0.00775
133,0.00034
134,0.52434998
135,0.0595
136,0.04644
137,0.00783
138,0.11101
139,0.00991
140,0.02671
141,0.00054638
142,0.03635
143,0.16742
144,0.40107999
145,0.02728
146,0.24966
147,0.45648999
148,0.00021
149,0.00695
150,0.04071
151,0.00017
152,0.0226
153,0.0073
154,0.00711
155,0.06138
156,0.00015
157,1e-05
158,0.00045
159,0.00227
160,0.05094
161,0.00388
